Date,Open,High,Low,Close,Adj Close,Volume
2017-12-29,2765.797363,2793.843506,2739.983398,2782.537842,2575.613770,91339
2018-01-01,2775.501953,2808.497314,2751.337646,2760.459961,2555.177734,49773
2018-01-02,2775.501953,2794.862549,2737.168945,2764.293213,2558.726074,124893
2018-01-03,2781.324707,2784.236084,2760.945068,2765.845947,2560.163086,77812
2018-01-04,2731.831543,2762.934570,2713.392822,2736.004395,2532.540771,172737
2018-01-05,2738.624756,2784.236084,2736.683838,2769.194092,2563.262695,106661
2018-01-08,2765.797363,2838.581543,2762.983154,2823.587891,2613.611328,218065
2018-01-09,2814.320068,2831.691406,2781.906982,2807.478516,2598.699463,176149
2018-01-10,2806.556396,2814.320068,2754.151855,2772.930176,2566.720703,104844
2018-01-11,2766.282715,2787.341553,2756.529541,2775.598877,2569.190674,100604
2018-01-12,2765.797363,2799.860352,2738.867188,2776.181152,2569.729980,184974
2018-01-15,2776.181152,2791.271729,2748.814453,2759.974609,2554.728516,101707
2018-01-16,2763.371338,2774.531494,2702.717773,2716.546875,2514.530273,154816
2018-01-17,2717.274658,2787.778320,2700.825439,2768.854248,2562.947998,528217
2018-01-18,2794.911133,2798.113525,2660.017822,2677.194824,2478.104736,153785
2018-01-19,2688.160889,2726.979248,2661.327881,2711.403320,2509.769287,116822
2018-01-22,2731.831543,2752.065430,2702.717773,2746.582275,2542.332275,171997
2018-01-23,2763.856445,2778.413330,2741.147949,2760.605469,2555.312500,253857
2018-01-24,2759.974609,2769.533691,2704.949951,2728.192139,2525.309570,681875
2018-01-25,2741.536133,2741.536133,2677.680176,2689.325439,2489.333252,180405
2018-01-29,2689.131348,2748.329102,2688.646240,2711.500488,2509.859131,103382
2018-01-30,2724.989746,2746.097168,2671.275146,2685.201172,2485.515869,305068
2018-01-31,2717.582275,2719.437012,2640.613525,2677.560303,2478.442871,239630
2018-02-01,2677.609131,2713.677734,2635.146973,2683.563721,2484.000000,254957
2018-02-02,2674.632080,2702.256836,2560.618408,2585.461426,2393.193115,250066
2018-02-05,2547.733398,2567.988281,2518.693115,2554.566406,2364.595703,221715
2018-02-06,2501.366699,2531.334229,2423.323975,2492.874268,2307.490967,230137
2018-02-07,2537.971924,2610.206543,2501.122559,2587.462402,2395.045410,246219
2018-02-08,2609.230469,2661.405273,2589.707520,2641.247803,2444.830811,184487
2018-02-09,2590.683594,2614.355225,2557.641357,2570.916748,2379.729736,116459
2018-02-12,2596.540527,2644.761963,2581.947266,2623.189209,2428.115479,123055
2018-02-14,2622.896484,2690.982422,2617.283691,2668.091797,2469.678711,98152
2018-02-15,2670.727539,2700.304443,2638.563477,2646.323730,2449.529297,89226
2018-02-16,2651.497314,2677.609131,2538.020752,2558.568604,2368.300293,115393
2018-02-19,2557.494873,2596.150146,2525.330811,2571.014404,2379.820557,111005
2018-02-20,2585.802979,2611.182617,2560.374512,2570.770264,2379.594238,85445
2018-02-21,2577.115234,2593.514404,2542.852783,2576.968994,2385.332031,102841
2018-02-22,2577.017578,2577.017578,2519.083496,2528.308105,2340.290039,149923
2018-02-23,2536.019775,2581.312744,2533.091309,2561.301758,2370.830078,125351
